v [V] 	j [A/cm^2] 	p [W/cm^2] 
-1.000000000E-1	1.372494014E-1	-1.372494014E-2
-2.142857143E-2	1.364412503E-1	-2.923741078E-3
0.000000000E+0	1.355879811E-1	0.000000000E+0
5.714285714E-2	1.303807121E-1	7.450326407E-3
1.357142857E-1	1.175531548E-1	1.595364244E-2
2.142857143E-1	1.017459971E-1	2.180271366E-2
2.928571429E-1	8.467324283E-2	2.479716397E-2
3.714285714E-1	6.694285826E-2	2.486449021E-2
3.370535714E-1	7.475970784E-2	2.519802653E-2
4.500000000E-1	4.881753666E-2	2.196789150E-2
3.370535714E-1	7.475970784E-2	2.519802653E-2
5.285714286E-1	3.043105385E-2	1.608498561E-2
6.071428571E-1	1.185989562E-2	7.200650910E-3
6.568638393E-1	3.473898776E-5	2.281878487E-5
6.857142857E-1	-6.848402490E-3	-4.696047421E-3
7.642857143E-1	-2.566239454E-2	-1.961340154E-2
8.428571429E-1	-4.456024978E-2	-3.755792482E-2
9.214285714E-1	-6.352622002E-2	-5.853487416E-2
1.000000000E+0	-8.254858515E-2	-8.254858515E-2